training_steps,agent_0,agent_1,agent_2
4980,0.23310708,0.24849214,0.25957578
4995,0.21675053,0.23053251,0.24237217
5010,0.2045183,0.2199062,0.22473165
5025,0.2128269,0.22559142,0.23678966
5040,0.20828095,0.22436531,0.23150116
5055,0.21620744,0.2307565,0.2401692
5070,0.2162756,0.23059894,0.24019745
5085,0.21446027,0.23008095,0.24295884
5100,0.23397404,0.24784808,0.25891867
5115,0.21141887,0.22584386,0.23684447
5130,0.21933751,0.23603901,0.24514946
5145,0.22253838,0.23990607,0.25089908
5160,0.21023664,0.2289382,0.23603313
5175,0.21002872,0.2268188,0.23799355
5190,0.2517971,0.27084962,0.27936536
5205,0.2077824,0.22203875,0.23684561
5220,0.21586053,0.2305726,0.24143387
5235,0.2407304,0.2567133,0.27178714
5250,0.2104736,0.22663306,0.23773442
5265,0.20721444,0.2233597,0.231241
5280,0.21390106,0.23036504,0.24396785
5295,0.21448511,0.23193774,0.2407103
5310,0.21793711,0.23564498,0.24651586
5325,0.21184388,0.22616795,0.23906663
5340,0.21231534,0.23106506,0.24448659
5355,0.22156727,0.23869333,0.25346345
5370,0.22525671,0.24301483,0.25858036
5385,0.21078809,0.22586131,0.23709087
5400,0.21362773,0.23012486,0.24411438
5415,0.25390312,0.27543938,0.28750974
5430,0.21296382,0.22811162,0.24679156
5445,0.19533975,0.21062176,0.22045563
5460,0.25820154,0.2795674,0.29556447
5475,0.23534729,0.2524941,0.26736152
5490,0.1882537,0.20290093,0.21369706
5505,0.2123395,0.23043802,0.24392752
5520,0.20402941,0.21607661,0.23181891
5535,0.23118052,0.24565339,0.26394594
5550,0.24119177,0.25801316,0.271617
5565,0.2234415,0.23654726,0.25234008
5580,0.21045877,0.22927162,0.2340099
5595,0.21676902,0.23362832,0.2378366
5610,0.23248412,0.2458108,0.2624849
5625,0.21862242,0.23468123,0.24722233
5640,0.21430157,0.2277928,0.24423242
5655,0.20490986,0.21681888,0.22948764
5670,0.20936817,0.2284195,0.23929076
5685,0.22267392,0.23848805,0.25180107
5700,0.21792486,0.2344424,0.2488926
5715,0.22161637,0.23877154,0.25389785
5730,0.22273389,0.24115716,0.25039473
5745,0.20134306,0.21867372,0.22767165
